order_id,customer_id,order_date,order_status,channel,shipping_city,shipping_fee
100001,1635,2022-01-28,Cancelled,Mobile App,Lucknow,49
100002,2725,2022-01-30,Delivered,Web,Mysuru,0
100003,2567,2022-02-05,Delivered,Web,Bengaluru,49
100004,1979,2022-02-06,Delivered,Mobile App,Delhi,49
100005,1054,2022-02-13,Delivered,Web,Bengaluru,0
100006,1920,2022-02-16,Delivered,Mobile App,Kochi,49
100007,385,2022-02-17,Delivered,Marketplace,Hyderabad,0
100008,2572,2022-02-20,Delivered,Web,Mumbai,0
100009,1979,2022-02-23,Delivered,Store,Delhi,0
100010,299,2022-03-01,Delivered,Mobile App,Delhi,0
100011,21,2022-03-02,Delivered,Web,Lucknow,49
100012,1685,2022-03-07,Cancelled,Mobile App,Bengaluru,0
100013,231,2022-03-12,Delivered,Mobile App,Mysuru,0
100014,2563,2022-03-12,Delivered,Mobile App,Delhi,0
100015,1636,2022-03-13,Delivered,Web,Hyderabad,0
100016,18,2022-03-17,Delivered,Web,Bengaluru,0
100017,2638,2022-03-18,Delivered,Web,Chennai,0
100018,1888,2022-03-19,Delivered,Marketplace,Chennai,49
100019,46,2022-03-27,Delivered,Web,Gurugram,49
100020,501,2022-03-28,Delivered,Mobile App,Delhi,49
100021,385,2022-04-08,Delivered,Mobile App,Hyderabad,0
100022,798,2022-04-09,Delivered,Mobile App,Mysuru,49
100023,798,2022-04-09,Delivered,Mobile App,Mysuru,0
100024,1370,2022-04-11,Delivered,Web,Madurai,49
100025,1517,2022-04-17,Delivered,Mobile App,Bengaluru,49
100026,1979,2022-04-20,Delivered,Web,Lucknow,0
100027,446,2022-04-22,Delivered,Web,Delhi,49
100028,1888,2022-04-22,Delivered,Mobile App,Chennai,49
100029,2323,2022-04-22,Delivered,Mobile App,Hyderabad,0
100030,2748,2022-04-24,Delivered,Mobile App,Chennai,0
100031,753,2022-04-28,Cancelled,Web,Chennai,49
100032,753,2022-04-28,Delivered,Marketplace,Chennai,0
100033,798,2022-04-30,Delivered,Web,Mysuru,49
100034,18,2022-05-01,Delivered,Web,Bengaluru,49
100035,157,2022-05-01,Delivered,Mobile App,Chennai,0
100036,198,2022-05-01,Delivered,Mobile App,Kolkata,49
100037,239,2022-05-02,Delivered,Mobile App,Bengaluru,0
100038,1288,2022-05-02,Delivered,Marketplace,Coimbatore,0
100039,438,2022-05-04,Delivered,Mobile App,Mumbai,0
100040,991,2022-05-05,Cancelled,Mobile App,Pune,0
100041,2269,2022-05-06,Delivered,Marketplace,Delhi,0
100042,198,2022-05-07,Delivered,Marketplace,Kolkata,49
100043,661,2022-05-07,Delivered,Marketplace,Chennai,0
100044,2473,2022-05-08,Cancelled,Web,Delhi,0
