payment_id,order_id,payment_method,payment_status,amount,paid_at
500001,100001,UPI,Refunded,475.55,2022-01-28 12:51:42
500002,100002,Credit Card,Success,1418.4,2022-01-30 07:05:29
500003,100003,Credit Card,Success,268.0,2022-02-05 02:39:23
500004,100004,Credit Card,Success,443.2,2022-02-06 23:39:05
500005,100005,Debit Card,Success,1634.65,2022-02-13 13:03:02
500006,100006,UPI,Success,787.0,2022-02-16 11:51:44
500007,100007,UPI,Success,1754.35,2022-02-17 15:05:46
500008,100008,Credit Card,Success,4840.3,2022-02-20 23:54:29
500009,100009,Net Banking,Success,2369.75,2022-02-23 08:07:47
500010,100010,COD,Success,5854.3,2022-03-01 13:59:50
500011,100011,UPI,Success,453.1,2022-03-02 14:52:27
500012,100012,UPI,Refunded,5890.15,2022-03-07 19:41:14
500013,100013,Wallet,Success,1347.0,2022-03-12 09:35:14
500014,100014,UPI,Success,1568.6,2022-03-12 18:25:44
500015,100015,UPI,Success,12398.0,2022-03-13 20:58:34
500016,100016,Net Banking,Success,16996.3,2022-03-17 22:28:34
500017,100017,UPI,Success,2487.0,2022-03-18 03:15:55
500018,100018,UPI,Success,498.0,2022-03-19 19:36:32
500019,100019,Debit Card,Success,1009.35,2022-03-27 04:10:42
500020,100020,COD,Success,453.1,2022-03-28 15:24:12
500021,100021,Net Banking,Success,11950.2,2022-04-08 16:49:25
500022,100022,COD,Success,487.0,2022-04-09 11:36:18
500023,100023,Credit Card,Success,63571.15,2022-04-09 01:25:00
500024,100024,Credit Card,Success,936.0,2022-04-11 21:42:22
500025,100025,Debit Card,Success,947.0,2022-04-17 00:18:32
500026,100026,UPI,Success,5344.2,2022-04-20 04:01:29
500027,100027,Debit Card,Success,408.2,2022-04-22 05:24:23
500028,100028,Credit Card,Success,288.0,2022-04-22 16:55:29
500029,100029,UPI,Success,3449.1,2022-04-22 21:03:02
500030,100030,Credit Card,Success,17896.55,2022-04-24 00:11:37
500031,100031,UPI,Refunded,378.0,2022-04-28 18:48:07
500032,100032,COD,Success,1393.05,2022-04-28 14:25:47
500033,100033,UPI,Success,430.65,2022-04-30 01:18:59
500034,100034,UPI,Success,527.0,2022-05-01 00:33:55
500035,100035,Debit Card,Success,32058.55,2022-05-01 08:17:34
500036,100036,Debit Card,Success,727.3,2022-05-01 02:30:24
