product_id,product_name,category,sub_category,brand,unit_price,cost_price,launch_date,is_active
1,Cobalt Mobiles 541,Electronics,Mobiles,Kraft,12379,5739.71,2021-11-13,1
2,Quanta Mobiles 310,Electronics,Mobiles,Orbit,28279,13478.3,2021-04-29,1
3,Cobalt Mobiles 939,Electronics,Mobiles,Tundra,17319,7864.95,2022-05-17,1
4,Vista Mobiles 545,Electronics,Mobiles,Zenith,15869,7365.42,2024-09-02,1
5,Quanta Mobiles 105,Electronics,Mobiles,Tundra,12569,9114.92,2021-08-03,1
6,Pixel Mobiles 445,Electronics,Mobiles,Sable,15089,9771.39,2023-04-10,1
7,Orbit Mobiles 373,Electronics,Mobiles,Aero,15219,10456.3,2023-12-16,1
8,Raven Headphones 121,Electronics,Headphones,Umbra,1529,1100.93,2022-01-15,1
9,Tundra Headphones 206,Electronics,Headphones,Tundra,6199,4869.14,2024-11-15,1
10,Orbit Headphones 741,Electronics,Headphones,Nova,11999,7603.24,2024-04-14,1
11,Cobalt Headphones 529,Electronics,Headphones,Ember,7569,3870.29,2025-04-18,1
12,Umbra Headphones 614,Electronics,Headphones,Tundra,6099,4456.2,2022-05-16,1
13,Lumen Headphones 386,Electronics,Headphones,Sable,3559,2377.76,2023-05-22,1
14,Zenith Headphones 546,Electronics,Headphones,Kraft,4619,2386.99,2020-02-07,1
15,Lumen Headphones 812,Electronics,Headphones,Orbit,3869,2669.31,2025-04-03,1
16,Lumen Headphones 486,Electronics,Headphones,Aero,4139,2525.9,2023-05-04,1
17,Tundra Laptops 338,Electronics,Laptops,Nova,65549,43229.98,2023-02-06,1
18,Umbra Laptops 252,Electronics,Laptops,Umbra,115299,77744.42,2025-04-03,0
19,Pixel Laptops 103,Electronics,Laptops,Aero,30649,23392.2,2024-11-18,1
20,Umbra Laptops 575,Electronics,Laptops,Cobalt,58989,35518.54,2025-04-12,1
21,Cobalt Laptops 283,Electronics,Laptops,Orbit,55099,39460.79,2024-05-16,1
22,Zenith Laptops 960,Electronics,Laptops,Nova,110409,74013.2,2022-08-12,1
23,Raven Laptops 671,Electronics,Laptops,Umbra,58259,31588.22,2024-09-29,1
24,Cobalt Laptops 179,Electronics,Laptops,Sable,45629,33609.38,2024-01-30,1
25,Orbit Smartwatches 368,Electronics,Smartwatches,Quanta,19179,10421.67,2022-12-05,1
26,Nimbus Smartwatches 406,Electronics,Smartwatches,Zenith,8079,4947.75,2022-10-08,1
27,Kraft Smartwatches 889,Electronics,Smartwatches,Zenith,7649,3523.55,2020-04-09,1
28,Lumen Smartwatches 572,Electronics,Smartwatches,Aero,2139,976.28,2021-02-04,1
29,Tundra Smartwatches 742,Electronics,Smartwatches,Lumen,6899,5761.26,2022-05-26,1
30,Zenith Smartwatches 327,Electronics,Smartwatches,Cobalt,6999,3675.2,2024-06-01,1
31,Raven Smartwatches 600,Electronics,Smartwatches,Ember,12839,7639.05,2022-11-30,0
32,Kraft Smartwatches 814,Electronics,Smartwatches,Cobalt,23259,11602.33,2020-09-26,1
33,Raven Men Clothing 788,Fashion,Men Clothing,Nimbus,1269,574.19,2023-03-13,1
34,Tundra Men Clothing 900,Fashion,Men Clothing,Umbra,829,616.08,2020-01-21,1
35,Cobalt Men Clothing 471,Fashion,Men Clothing,Nova,459,235.04,2025-02-09,1
36,Lumen Men Clothing 976,Fashion,Men Clothing,Aero,1359,1036.97,2022-12-22,1
