return_id,order_item_id,return_date,reason,refund_amount
1,35,2022-03-30,Wrong item,449.0
2,64,2022-05-03,Size/fit issue,246.05
3,86,2022-05-17,Size/fit issue,689.0
4,114,2022-06-08,Defective,735.2
5,100,2022-06-10,Defective,207.2
6,154,2022-06-25,Size/fit issue,364.65
7,188,2022-07-08,Not as described,449.0
8,186,2022-07-15,Defective,520.2
9,259,2022-07-15,Wrong item,279.65
10,166,2022-07-16,Changed mind,206.1
11,223,2022-07-19,Size/fit issue,449.0
12,199,2022-07-19,Not as described,329.0
13,180,2022-07-23,Changed mind,727.38
14,270,2022-07-26,Changed mind,404.1
15,261,2022-08-03,Not as described,404.1
16,288,2022-08-06,Size/fit issue,314.1
17,321,2022-08-08,Changed mind,1149.39
18,312,2022-08-11,Defective,1279.65
19,338,2022-09-01,Defective,219.0
20,390,2022-09-16,Changed mind,848.61
21,399,2022-09-18,Changed mind,351.14
22,409,2022-09-22,Changed mind,363.69
23,516,2022-09-22,Size/fit issue,413.1
24,495,2022-09-26,Changed mind,1212.3
25,438,2022-09-28,Defective,350.55
26,504,2022-09-30,Changed mind,1034.1
27,444,2022-10-03,Wrong item,1169.0
28,555,2022-10-05,Late delivery,209.0
29,582,2022-10-08,Late delivery,981.6
30,579,2022-10-11,Size/fit issue,1655.2
31,637,2022-10-15,Defective,609.0
32,663,2022-10-18,Changed mind,383.9
33,570,2022-10-19,Size/fit issue,329.0
34,598,2022-10-23,Changed mind,606.69
35,596,2022-10-28,Defective,1690.05
36,649,2022-11-02,Size/fit issue,329.0
37,670,2022-11-07,Size/fit issue,798.15
38,722,2022-11-07,Wrong item,898.0
39,692,2022-11-07,Defective,898.0
40,716,2022-11-12,Not as described,525.6
41,693,2022-11-14,Defective,678.0
42,737,2022-11-16,Size/fit issue,208.05
43,724,2022-11-17,Size/fit issue,455.05
44,720,2022-11-20,Not as described,449.0
45,783,2022-11-20,Defective,808.2
46,835,2022-11-23,Size/fit issue,208.05
47,813,2022-11-26,Defective,449.0
48,839,2022-12-01,Not as described,2399.0
49,829,2022-12-07,Defective,404.1
50,865,2022-12-10,Defective,186.15
